app_name,platform,developer_company,app_category,version_number,version_release_date,is_current_version,initial_app_release_date,apk_format,file_size,detail_page_size,detail_page_downloads,detail_page_top_content_rating,detail_page_top_update_date,detail_page_security_ratio,detail_page_android_os,additional_app_latest_version,uploaded_by,package_name,languages,requires_android,content_rating,architecture,app_permissions_count,additional_app_category,license_required,security_report_label,version_comparison_available,comparison_package_name_displayed,comparison_package_name_latest,comparison_version_displayed,comparison_version_latest,comparison_update_date_displayed,comparison_update_date_latest,comparison_size_displayed,comparison_size_latest,comparison_requires_android_displayed,comparison_requires_android_latest,comparison_architecture_displayed,comparison_architecture_latest,comparison_signature_displayed,comparison_signature_latest,google_play_app_license_displayed,google_play_app_license_latest,same_as_package_name,sha256,verified_by,trusted_app_label,security_scan_result,security_scan_date,update_description,update_description_raw,standardized_update_categories,standardized_summary,feature_specificity,feature_text_sufficient_for_research,detail_page_version,detail_page_update_date,version_history_source,version_history_source_url,detail_source_url,detail_url_source_method,detail_url_version_slug,detail_url_matches_displayed_version,source_note
Google Chrome,Android,Google LLC,Communication,147.0.7727.113,"Apr 30, 2026",True,"February 7, 2012 (beta)",,37.8 MB,37.8 MB,1K+,,"Apr 30, 2026",,,Trusted App,Hassan Zobeidi,com.android.chrome,,"Android 10.0+ (Q, API 29)",,armeabi-v7a,,,,Google Chrome,Yes,com.android.chrome,com.android.chrome,147.0.7727.113,,Remove ads with APKPure Premium,What's New in Version 147.0.7727.113,1K+,,"Android 10.0+ (Q, API 29)",,armeabi-v7a,arm64-v8a,58e1c4133f7441ec3d2c270270a14802da47ba0e,38918a453d07199354f8b19af05ec6562ced5788,Not Required,Not Required,,,APKPURE,Trusted App,,,Thanks for choosing Chrome! This release includes stability and performance improvements.,"Google Chrome is a web browser app that helps you search and browse quickly. Download and install old versions of Google Chrome that suits your device model and enjoy your favorite features! Thanks for choosing Chrome! This release includes stability and performance improvements. Google Chrome old version 147.0.7727.113 was released on Apr 30, 2026 by Google LLC. The app download size is 37.8 MB. We recommend you download the latest version of Google Chrome for the new features and better performance. Download the Latest Version Check out the detailed comparison between the latest and old version of Google Chrome, including the file size and Android system requirements.",Bug fixes / performance improvements; UI / design changes; AI-related features; Personalization / recommendations; Browser / browsing features; New product feature,Version-specific note suggests: Thanks for choosing Chrome! This release includes stability and performance improvements.,version_specific_or_actionable,True,147.0.7727.113,"Apr 30, 2026",APKPure,https://apkpure.com/google-chrome-fast-secure/com.android.chrome/versions,https://apkpure.com/google-chrome-fast-secure/com.android.chrome/download/147.0.7727.113,actual_href_from_versions_page,147.0.7727.113,True,APKPure version/date/size; not official Google Play historical release data. Detail URL was read from APKPure page href.
Google Chrome,Android,Google LLC,Communication,147.0.7727.111,"Apr 27, 2026",False,"February 7, 2012 (beta)",,25.1 MB,25.1 MB,1K+,,"Apr 27, 2026",,,Trusted App,Jlal Kloub,com.android.chrome,,,,arm64-v8a,,,,Google Chrome,Yes,com.android.chrome,com.android.chrome,147.0.7727.111,,Remove ads with APKPure Premium,What's New in Version 147.0.7727.111,1K+,,,,arm64-v8a,arm64-v8a,38918a453d07199354f8b19af05ec6562ced5788,38918a453d07199354f8b19af05ec6562ced5788,Not Required,Not Required,,,,Trusted App,Secure,,Thanks for choosing Chrome! This release includes stability and performance improvements.,"Google Chrome is a web browser app that helps you search and browse quickly. Download and install old versions of Google Chrome that suits your device model and enjoy your favorite features! Thanks for choosing Chrome! This release includes stability and performance improvements. Google Chrome old version 147.0.7727.111 was released on Apr 27, 2026 by Google LLC. The app download size is 25.1 MB. We recommend you download the latest version of Google Chrome for the new features and better performance. Download the Latest Version Check out the detailed comparison between the latest and old version of Google Chrome, including the file size and Android system requirements.",Bug fixes / performance improvements; UI / design changes; AI-related features; Personalization / recommendations; Browser / browsing features; New product feature,Version-specific note suggests: Thanks for choosing Chrome! This release includes stability and performance improvements.,version_specific_or_actionable,True,147.0.7727.111,"Apr 27, 2026",APKPure,https://apkpure.com/google-chrome-fast-secure/com.android.chrome/versions,https://apkpure.com/google-chrome-fast-secure/com.android.chrome/download/147.0.7727.111,actual_href_from_versions_page,147.0.7727.111,True,APKPure version/date/size; not official Google Play historical release data. Detail URL was read from APKPure page href.
Google Chrome,Android,Google LLC,Communication,147.0.7727.101,"Apr 20, 2026",False,"February 7, 2012 (beta)",,25.1 MB,25.1 MB,4K+,,"Apr 20, 2026",,,Trusted App,Phạm Đăng Dũng,com.android.chrome,,,,arm64-v8a,,,,Google Chrome,Yes,com.android.chrome,com.android.chrome,147.0.7727.101,,Remove ads with APKPure Premium,What's New in Version 147.0.7727.101,4K+,,,,arm64-v8a,arm64-v8a,38918a453d07199354f8b19af05ec6562ced5788,38918a453d07199354f8b19af05ec6562ced5788,Not Required,Not Required,,,,Trusted App,Secure,,Thanks for choosing Chrome! This release includes stability and performance improvements.,"Google Chrome is a web browser app that helps you search and browse quickly. Download and install old versions of Google Chrome that suits your device model and enjoy your favorite features! Thanks for choosing Chrome! This release includes stability and performance improvements. Google Chrome old version 147.0.7727.101 was released on Apr 20, 2026 by Google LLC. The app download size is 25.1 MB. We recommend you download the latest version of Google Chrome for the new features and better performance. Download the Latest Version Check out the detailed comparison between the latest and old version of Google Chrome, including the file size and Android system requirements.",Bug fixes / performance improvements; UI / design changes; AI-related features; Personalization / recommendations; Browser / browsing features; New product feature,Version-specific note suggests: Thanks for choosing Chrome! This release includes stability and performance improvements.,version_specific_or_actionable,True,147.0.7727.101,"Apr 20, 2026",APKPure,https://apkpure.com/google-chrome-fast-secure/com.android.chrome/versions,https://apkpure.com/google-chrome-fast-secure/com.android.chrome/download/147.0.7727.101,actual_href_from_versions_page,147.0.7727.101,True,APKPure version/date/size; not official Google Play historical release data. Detail URL was read from APKPure page href.
Google Chrome,Android,Google LLC,Communication,147.0.7727.50,"Apr 15, 2026",False,"February 7, 2012 (beta)",,25.1 MB,25.1 MB,1K+,,"Apr 15, 2026",,,Trusted App,А' К',com.android.chrome,,,,arm64-v8a,,,,Google Chrome,Yes,com.android.chrome,com.android.chrome,147.0.7727.50,,Remove ads with APKPure Premium,What's New in Version 147.0.7727.50,1K+,,,,arm64-v8a,arm64-v8a,38918a453d07199354f8b19af05ec6562ced5788,38918a453d07199354f8b19af05ec6562ced5788,Not Required,Not Required,,,,Trusted App,Secure,,Thanks for choosing Chrome! This release includes stability and performance improvements.,"Google Chrome is a web browser app that helps you search and browse quickly. Download and install old versions of Google Chrome that suits your device model and enjoy your favorite features! Thanks for choosing Chrome! This release includes stability and performance improvements. Google Chrome old version 147.0.7727.50 was released on Apr 15, 2026 by Google LLC. The app download size is 25.1 MB. We recommend you download the latest version of Google Chrome for the new features and better performance. Download the Latest Version Check out the detailed comparison between the latest and old version of Google Chrome, including the file size and Android system requirements.",Bug fixes / performance improvements; UI / design changes; AI-related features; Personalization / recommendations; Browser / browsing features; New product feature,Version-specific note suggests: Thanks for choosing Chrome! This release includes stability and performance improvements.,version_specific_or_actionable,True,147.0.7727.50,"Apr 15, 2026",APKPure,https://apkpure.com/google-chrome-fast-secure/com.android.chrome/versions,https://apkpure.com/google-chrome-fast-secure/com.android.chrome/download/147.0.7727.50,actual_href_from_versions_page,147.0.7727.50,True,APKPure version/date/size; not official Google Play historical release data. Detail URL was read from APKPure page href.
Google Chrome,Android,Google LLC,Communication,147.0.7727.49,"Apr 7, 2026",False,"February 7, 2012 (beta)",,25.1 MB,25.1 MB,6K+,,"Apr 7, 2026",,,Trusted App,А' К',com.android.chrome,,,,arm64-v8a,,,,Google Chrome,Yes,com.android.chrome,com.android.chrome,147.0.7727.49,,Remove ads with APKPure Premium,What's New in Version 147.0.7727.49,6K+,,,,arm64-v8a,arm64-v8a,38918a453d07199354f8b19af05ec6562ced5788,38918a453d07199354f8b19af05ec6562ced5788,Not Required,Not Required,,,,Trusted App,Secure,,Thanks for choosing Chrome! This release includes stability and performance improvements.,"Google Chrome is a web browser app that helps you search and browse quickly. Download and install old versions of Google Chrome that suits your device model and enjoy your favorite features! Thanks for choosing Chrome! This release includes stability and performance improvements. Google Chrome old version 147.0.7727.49 was released on Apr 7, 2026 by Google LLC. The app download size is 25.1 MB. We recommend you download the latest version of Google Chrome for the new features and better performance. Download the Latest Version Check out the detailed comparison between the latest and old version of Google Chrome, including the file size and Android system requirements.",Bug fixes / performance improvements; UI / design changes; AI-related features; Personalization / recommendations; Browser / browsing features; New product feature,Version-specific note suggests: Thanks for choosing Chrome! This release includes stability and performance improvements.,version_specific_or_actionable,True,147.0.7727.49,"Apr 7, 2026",APKPure,https://apkpure.com/google-chrome-fast-secure/com.android.chrome/versions,https://apkpure.com/google-chrome-fast-secure/com.android.chrome/download/147.0.7727.49,actual_href_from_versions_page,147.0.7727.49,True,APKPure version/date/size; not official Google Play historical release data. Detail URL was read from APKPure page href.
Google Chrome,Android,Google LLC,Communication,146.0.7680.178,"Apr 8, 2026",False,"February 7, 2012 (beta)",,37.6 MB,37.6 MB,1K+,,"Apr 8, 2026",,,Trusted App,Jlal Kloub,com.android.chrome,,"Android 10.0+ (Q, API 29)",,armeabi-v7a,,,,Google Chrome,Yes,com.android.chrome,com.android.chrome,146.0.7680.178,,Remove ads with APKPure Premium,What's New in Version 146.0.7680.178,1K+,,"Android 10.0+ (Q, API 29)",,armeabi-v7a,arm64-v8a,58e1c4133f7441ec3d2c270270a14802da47ba0e,38918a453d07199354f8b19af05ec6562ced5788,Not Required,Not Required,,,APKPURE,Trusted App,,,Thanks for choosing Chrome! This release includes stability and performance improvements.,"Google Chrome is a web browser app that helps you search and browse quickly. Download and install old versions of Google Chrome that suits your device model and enjoy your favorite features! Thanks for choosing Chrome! This release includes stability and performance improvements. Google Chrome old version 146.0.7680.178 was released on Apr 8, 2026 by Google LLC. The app download size is 37.6 MB. We recommend you download the latest version of Google Chrome for the new features and better performance. Download the Latest Version Check out the detailed comparison between the latest and old version of Google Chrome, including the file size and Android system requirements.",Bug fixes / performance improvements; UI / design changes; AI-related features; Personalization / recommendations; Browser / browsing features; New product feature,Version-specific note suggests: Thanks for choosing Chrome! This release includes stability and performance improvements.,version_specific_or_actionable,True,146.0.7680.178,"Apr 8, 2026",APKPure,https://apkpure.com/google-chrome-fast-secure/com.android.chrome/versions,https://apkpure.com/google-chrome-fast-secure/com.android.chrome/download/146.0.7680.178,actual_href_from_versions_page,146.0.7680.178,True,APKPure version/date/size; not official Google Play historical release data. Detail URL was read from APKPure page href.
Google Chrome,Android,Google LLC,Communication,146.0.7680.177,"Apr 2, 2026",False,"February 7, 2012 (beta)",,24.8 MB,24.8 MB,2K+,,"Apr 2, 2026",,,Trusted App,Hassan Zobeidi,com.android.chrome,,,,arm64-v8a,,,,Google Chrome,Yes,com.android.chrome,com.android.chrome,146.0.7680.177,,Remove ads with APKPure Premium,What's New in Version 146.0.7680.177,2K+,,,,arm64-v8a,arm64-v8a,38918a453d07199354f8b19af05ec6562ced5788,38918a453d07199354f8b19af05ec6562ced5788,Not Required,Not Required,,,,Trusted App,Secure,,Thanks for choosing Chrome! This release includes stability and performance improvements.,"Google Chrome is a web browser app that helps you search and browse quickly. Download and install old versions of Google Chrome that suits your device model and enjoy your favorite features! Thanks for choosing Chrome! This release includes stability and performance improvements. Google Chrome old version 146.0.7680.177 was released on Apr 2, 2026 by Google LLC. The app download size is 24.8 MB. We recommend you download the latest version of Google Chrome for the new features and better performance. Download the Latest Version Check out the detailed comparison between the latest and old version of Google Chrome, including the file size and Android system requirements.",Bug fixes / performance improvements; UI / design changes; AI-related features; Personalization / recommendations; Browser / browsing features; New product feature,Version-specific note suggests: Thanks for choosing Chrome! This release includes stability and performance improvements.,version_specific_or_actionable,True,146.0.7680.177,"Apr 2, 2026",APKPure,https://apkpure.com/google-chrome-fast-secure/com.android.chrome/versions,https://apkpure.com/google-chrome-fast-secure/com.android.chrome/download/146.0.7680.177,actual_href_from_versions_page,146.0.7680.177,True,APKPure version/date/size; not official Google Play historical release data. Detail URL was read from APKPure page href.
Google Chrome,Android,Google LLC,Communication,146.0.7680.164,"Mar 25, 2026",False,"February 7, 2012 (beta)",,24.8 MB,24.8 MB,5K+,,"Mar 25, 2026",,,Trusted App,Jlal Kloub,com.android.chrome,,,,arm64-v8a,,,,Google Chrome,Yes,com.android.chrome,com.android.chrome,146.0.7680.164,,Remove ads with APKPure Premium,What's New in Version 146.0.7680.164,5K+,,,,arm64-v8a,arm64-v8a,38918a453d07199354f8b19af05ec6562ced5788,38918a453d07199354f8b19af05ec6562ced5788,Not Required,Not Required,,,,Trusted App,Secure,,Thanks for choosing Chrome! This release includes stability and performance improvements.,"Google Chrome is a web browser app that helps you search and browse quickly. Download and install old versions of Google Chrome that suits your device model and enjoy your favorite features! Thanks for choosing Chrome! This release includes stability and performance improvements. Google Chrome old version 146.0.7680.164 was released on Mar 25, 2026 by Google LLC. The app download size is 24.8 MB. We recommend you download the latest version of Google Chrome for the new features and better performance. Download the Latest Version Check out the detailed comparison between the latest and old version of Google Chrome, including the file size and Android system requirements.",Bug fixes / performance improvements; UI / design changes; AI-related features; Personalization / recommendations; Browser / browsing features; New product feature,Version-specific note suggests: Thanks for choosing Chrome! This release includes stability and performance improvements.,version_specific_or_actionable,True,146.0.7680.164,"Mar 25, 2026",APKPure,https://apkpure.com/google-chrome-fast-secure/com.android.chrome/versions,https://apkpure.com/google-chrome-fast-secure/com.android.chrome/download/146.0.7680.164,actual_href_from_versions_page,146.0.7680.164,True,APKPure version/date/size; not official Google Play historical release data. Detail URL was read from APKPure page href.
Google Chrome,Android,Google LLC,Communication,146.0.7680.153,"Mar 23, 2026",False,"February 7, 2012 (beta)",,24.8 MB,24.8 MB,1K+,,"Mar 23, 2026",,,Trusted App,А' К',com.android.chrome,,,,arm64-v8a,,,,Google Chrome,Yes,com.android.chrome,com.android.chrome,146.0.7680.153,,Remove ads with APKPure Premium,What's New in Version 146.0.7680.153,1K+,,,,arm64-v8a,arm64-v8a,38918a453d07199354f8b19af05ec6562ced5788,38918a453d07199354f8b19af05ec6562ced5788,Not Required,Not Required,,,,Trusted App,Secure,,Thanks for choosing Chrome! This release includes stability and performance improvements.,"Google Chrome is a web browser app that helps you search and browse quickly. Download and install old versions of Google Chrome that suits your device model and enjoy your favorite features! Thanks for choosing Chrome! This release includes stability and performance improvements. Google Chrome old version 146.0.7680.153 was released on Mar 23, 2026 by Google LLC. The app download size is 24.8 MB. We recommend you download the latest version of Google Chrome for the new features and better performance. Download the Latest Version Check out the detailed comparison between the latest and old version of Google Chrome, including the file size and Android system requirements.",Bug fixes / performance improvements; UI / design changes; AI-related features; Personalization / recommendations; Browser / browsing features; New product feature,Version-specific note suggests: Thanks for choosing Chrome! This release includes stability and performance improvements.,version_specific_or_actionable,True,146.0.7680.153,"Mar 23, 2026",APKPure,https://apkpure.com/google-chrome-fast-secure/com.android.chrome/versions,https://apkpure.com/google-chrome-fast-secure/com.android.chrome/download/146.0.7680.153,actual_href_from_versions_page,146.0.7680.153,True,APKPure version/date/size; not official Google Play historical release data. Detail URL was read from APKPure page href.
Google Chrome,Android,Google LLC,Communication,146.0.7680.119,"Mar 14, 2026",False,"February 7, 2012 (beta)",,24.8 MB,24.8 MB,3K+,,"Mar 14, 2026",,,Trusted App,Phạm Đăng Dũng,com.android.chrome,,,,arm64-v8a,,,,Google Chrome,Yes,com.android.chrome,com.android.chrome,146.0.7680.119,,Remove ads with APKPure Premium,What's New in Version 146.0.7680.119,3K+,,,,arm64-v8a,arm64-v8a,38918a453d07199354f8b19af05ec6562ced5788,38918a453d07199354f8b19af05ec6562ced5788,Not Required,Not Required,,,,Trusted App,Secure,,Thanks for choosing Chrome! This release includes stability and performance improvements.,"Google Chrome is a web browser app that helps you search and browse quickly. Download and install old versions of Google Chrome that suits your device model and enjoy your favorite features! Thanks for choosing Chrome! This release includes stability and performance improvements. Google Chrome old version 146.0.7680.119 was released on Mar 14, 2026 by Google LLC. The app download size is 24.8 MB. We recommend you download the latest version of Google Chrome for the new features and better performance. Download the Latest Version Check out the detailed comparison between the latest and old version of Google Chrome, including the file size and Android system requirements.",Bug fixes / performance improvements; UI / design changes; AI-related features; Personalization / recommendations; Browser / browsing features; New product feature,Version-specific note suggests: Thanks for choosing Chrome! This release includes stability and performance improvements.,version_specific_or_actionable,True,146.0.7680.119,"Mar 14, 2026",APKPure,https://apkpure.com/google-chrome-fast-secure/com.android.chrome/versions,https://apkpure.com/google-chrome-fast-secure/com.android.chrome/download/146.0.7680.119,actual_href_from_versions_page,146.0.7680.119,True,APKPure version/date/size; not official Google Play historical release data. Detail URL was read from APKPure page href.
