app_name,platform,developer_company,app_category,version_number,version_release_date,is_current_version,initial_app_release_date,apk_format,file_size,detail_page_size,detail_page_downloads,detail_page_top_content_rating,detail_page_top_update_date,detail_page_security_ratio,detail_page_android_os,package_name,languages,requires_android,content_rating,architecture,app_permissions_count,additional_app_latest_version,uploaded_by,additional_app_category,security_report_label,security_scan_result,security_scan_date,update_description,update_description_raw,standardized_update_categories,standardized_summary,feature_specificity,feature_text_sufficient_for_research,detail_page_version,detail_page_update_date,version_history_source,version_history_source_url,detail_source_url,detail_url_source_method,detail_url_version_slug,detail_url_matches_displayed_version,source_note
Google Docs,Android,Google LLC,Productivity,1.26.161.02.90,"Apr 28, 2026",True,April 2012,,83.0 MB,83.0 MB,1K+,,"Apr 28, 2026",,,com.google.android.apps.docs.editors.docs,,"Android 10.0+ (Q, API 29)",,arm64-v8a,,Trusted App,ElGrande Hicham,,Google Docs,Secure,,Download and install,Google Docs is a cloud-based word processor app that lets you create and collaborate on documents. Download and install,New product feature,"APKPure provides generic app or rollback text, but no clear version-specific reason for this update.",generic,False,1.26.161.02.90,"Apr 28, 2026",APKPure,https://apkpure.com/google-docs/com.google.android.apps.docs.editors.docs/versions,https://apkpure.com/google-docs/com.google.android.apps.docs.editors.docs/download/1.26.161.02.90,actual_href_from_versions_page,1.26.161.02.90,True,APKPure version/date/size; not official Google Play historical release data. Detail URL was read from APKPure page href.
Google Docs,Android,Google LLC,Productivity,1.26.141.06.90,"Apr 27, 2026",False,April 2012,,66.7 MB,66.7 MB,1K+,,"Apr 27, 2026",,,com.google.android.apps.docs.editors.docs,,"Android 8.0+ (Oreo, API 26)",,x86,,Trusted App,Shreya Reddy,,Google Docs,Secure,,Download and install,Google Docs is a cloud-based word processor app that lets you create and collaborate on documents. Download and install,New product feature,"APKPure provides generic app or rollback text, but no clear version-specific reason for this update.",generic,False,1.26.141.06.90,"Apr 27, 2026",APKPure,https://apkpure.com/google-docs/com.google.android.apps.docs.editors.docs/versions,https://apkpure.com/google-docs/com.google.android.apps.docs.editors.docs/download/1.26.141.06.90,actual_href_from_versions_page,1.26.141.06.90,True,APKPure version/date/size; not official Google Play historical release data. Detail URL was read from APKPure page href.
Google Docs,Android,Google LLC,Productivity,1.26.141.05.90,"Apr 21, 2026",False,April 2012,,65.2 MB,65.2 MB,1K+,,"Apr 21, 2026",,,com.google.android.apps.docs.editors.docs,,"Android 8.0+ (Oreo, API 26)",,arm64-v8a,,Trusted App,ElGrande Hicham,,Google Docs,Secure,,Download and install,Google Docs is a cloud-based word processor app that lets you create and collaborate on documents. Download and install,New product feature,"APKPure provides generic app or rollback text, but no clear version-specific reason for this update.",generic,False,1.26.141.05.90,"Apr 21, 2026",APKPure,https://apkpure.com/google-docs/com.google.android.apps.docs.editors.docs/versions,https://apkpure.com/google-docs/com.google.android.apps.docs.editors.docs/download/1.26.141.05.90,actual_href_from_versions_page,1.26.141.05.90,True,APKPure version/date/size; not official Google Play historical release data. Detail URL was read from APKPure page href.
Google Docs,Android,Google LLC,Productivity,1.26.141.04.90,"Apr 17, 2026",False,April 2012,,119.6 MB,119.6 MB,1K+,,"Apr 17, 2026",,,com.google.android.apps.docs.editors.docs,,"Android 8.0+ (Oreo, API 26)",,"arm64-v8a,armeabi-v7a,x86,x86_64",,Trusted App,Mario Alberto Cruz,,Google Docs,Secure,,Download and install,Google Docs is a cloud-based word processor app that lets you create and collaborate on documents. Download and install,New product feature,"APKPure provides generic app or rollback text, but no clear version-specific reason for this update.",generic,False,1.26.141.04.90,"Apr 17, 2026",APKPure,https://apkpure.com/google-docs/com.google.android.apps.docs.editors.docs/versions,https://apkpure.com/google-docs/com.google.android.apps.docs.editors.docs/download/1.26.141.04.90,actual_href_from_versions_page,1.26.141.04.90,True,APKPure version/date/size; not official Google Play historical release data. Detail URL was read from APKPure page href.
Google Docs,Android,Google LLC,Productivity,1.26.141.03.90,"Apr 14, 2026",False,April 2012,,119.6 MB,119.6 MB,1K+,,"Apr 14, 2026",,,com.google.android.apps.docs.editors.docs,,"Android 8.0+ (Oreo, API 26)",,"arm64-v8a,armeabi-v7a,x86,x86_64",,Trusted App,Ray Chelsea,,Google Docs,Secure,,Download and install,Google Docs is a cloud-based word processor app that lets you create and collaborate on documents. Download and install,New product feature,"APKPure provides generic app or rollback text, but no clear version-specific reason for this update.",generic,False,1.26.141.03.90,"Apr 14, 2026",APKPure,https://apkpure.com/google-docs/com.google.android.apps.docs.editors.docs/versions,https://apkpure.com/google-docs/com.google.android.apps.docs.editors.docs/download/1.26.141.03.90,actual_href_from_versions_page,1.26.141.03.90,True,APKPure version/date/size; not official Google Play historical release data. Detail URL was read from APKPure page href.
Google Docs,Android,Google LLC,Productivity,1.26.141.02.90,"Apr 11, 2026",False,April 2012,,119.6 MB,119.6 MB,1K+,,"Apr 11, 2026",,,com.google.android.apps.docs.editors.docs,,"Android 8.0+ (Oreo, API 26)",,"arm64-v8a,armeabi-v7a,x86,x86_64",,Trusted App,ElGrande Hicham,,Google Docs,Secure,,Download and install,Google Docs is a cloud-based word processor app that lets you create and collaborate on documents. Download and install,New product feature,"APKPure provides generic app or rollback text, but no clear version-specific reason for this update.",generic,False,1.26.141.02.90,"Apr 11, 2026",APKPure,https://apkpure.com/google-docs/com.google.android.apps.docs.editors.docs/versions,https://apkpure.com/google-docs/com.google.android.apps.docs.editors.docs/download/1.26.141.02.90,actual_href_from_versions_page,1.26.141.02.90,True,APKPure version/date/size; not official Google Play historical release data. Detail URL was read from APKPure page href.
Google Docs,Android,Google LLC,Productivity,1.26.141.01.90,"Apr 8, 2026",False,April 2012,,66.0 MB,66.0 MB,1K+,,"Apr 8, 2026",,,com.google.android.apps.docs.editors.docs,,"Android 10.0+ (Q, API 29)",,armeabi-v7a,,Trusted App,Shreya Reddy,,Google Docs,Secure,,Download and install,Google Docs is a cloud-based word processor app that lets you create and collaborate on documents. Download and install,New product feature,"APKPure provides generic app or rollback text, but no clear version-specific reason for this update.",generic,False,1.26.141.01.90,"Apr 8, 2026",APKPure,https://apkpure.com/google-docs/com.google.android.apps.docs.editors.docs/versions,https://apkpure.com/google-docs/com.google.android.apps.docs.editors.docs/download/1.26.141.01.90,actual_href_from_versions_page,1.26.141.01.90,True,APKPure version/date/size; not official Google Play historical release data. Detail URL was read from APKPure page href.
Google Docs,Android,Google LLC,Productivity,1.26.131.05.90,"Apr 21, 2026",False,April 2012,,67.6 MB,67.6 MB,1K+,,"Apr 21, 2026",,,com.google.android.apps.docs.editors.docs,,"Android 10.0+ (Q, API 29)",,arm64-v8a,,Trusted App,ElGrande Hicham,,Google Docs,,,Download and install,Google Docs is a cloud-based word processor app that lets you create and collaborate on documents. Download and install,New product feature,"APKPure provides generic app or rollback text, but no clear version-specific reason for this update.",generic,False,1.26.131.05.90,"Apr 21, 2026",APKPure,https://apkpure.com/google-docs/com.google.android.apps.docs.editors.docs/versions,https://apkpure.com/google-docs/com.google.android.apps.docs.editors.docs/download/1.26.131.05.90,actual_href_from_versions_page,1.26.131.05.90,True,APKPure version/date/size; not official Google Play historical release data. Detail URL was read from APKPure page href.
Google Docs,Android,Google LLC,Productivity,1.26.131.04.90,"Apr 17, 2026",False,April 2012,,67.6 MB,67.6 MB,1K+,,"Apr 17, 2026",,,com.google.android.apps.docs.editors.docs,,"Android 10.0+ (Q, API 29)",,arm64-v8a,,Trusted App,Shreya Reddy,,Google Docs,,,Download and install,Google Docs is a cloud-based word processor app that lets you create and collaborate on documents. Download and install,New product feature,"APKPure provides generic app or rollback text, but no clear version-specific reason for this update.",generic,False,1.26.131.04.90,"Apr 17, 2026",APKPure,https://apkpure.com/google-docs/com.google.android.apps.docs.editors.docs/versions,https://apkpure.com/google-docs/com.google.android.apps.docs.editors.docs/download/1.26.131.04.90,actual_href_from_versions_page,1.26.131.04.90,True,APKPure version/date/size; not official Google Play historical release data. Detail URL was read from APKPure page href.
Google Docs,Android,Google LLC,Productivity,1.26.131.03.90,"Apr 15, 2026",False,April 2012,,67.6 MB,67.6 MB,1K+,,"Apr 15, 2026",,,com.google.android.apps.docs.editors.docs,,"Android 10.0+ (Q, API 29)",,arm64-v8a,,Trusted App,Shreya Reddy,,Google Docs,,,Download and install,Google Docs is a cloud-based word processor app that lets you create and collaborate on documents. Download and install,New product feature,"APKPure provides generic app or rollback text, but no clear version-specific reason for this update.",generic,False,1.26.131.03.90,"Apr 15, 2026",APKPure,https://apkpure.com/google-docs/com.google.android.apps.docs.editors.docs/versions,https://apkpure.com/google-docs/com.google.android.apps.docs.editors.docs/download/1.26.131.03.90,actual_href_from_versions_page,1.26.131.03.90,True,APKPure version/date/size; not official Google Play historical release data. Detail URL was read from APKPure page href.
Google Docs,Android,Google LLC,Productivity,1.26.131.02.90,"Apr 11, 2026",False,April 2012,,67.6 MB,67.6 MB,1K+,,"Apr 11, 2026",,,com.google.android.apps.docs.editors.docs,,"Android 10.0+ (Q, API 29)",,arm64-v8a,,Trusted App,Shreya Reddy,,Google Docs,,,Download and install,Google Docs is a cloud-based word processor app that lets you create and collaborate on documents. Download and install,New product feature,"APKPure provides generic app or rollback text, but no clear version-specific reason for this update.",generic,False,1.26.131.02.90,"Apr 11, 2026",APKPure,https://apkpure.com/google-docs/com.google.android.apps.docs.editors.docs/versions,https://apkpure.com/google-docs/com.google.android.apps.docs.editors.docs/download/1.26.131.02.90,actual_href_from_versions_page,1.26.131.02.90,True,APKPure version/date/size; not official Google Play historical release data. Detail URL was read from APKPure page href.
Google Docs,Android,Google LLC,Productivity,1.26.131.01.90,"Apr 6, 2026",False,April 2012,,67.6 MB,67.6 MB,1K+,,"Apr 6, 2026",,,com.google.android.apps.docs.editors.docs,,"Android 10.0+ (Q, API 29)",,arm64-v8a,,Trusted App,Mario Alberto Cruz,,Google Docs,Secure,,Download and install,Google Docs is a cloud-based word processor app that lets you create and collaborate on documents. Download and install,New product feature,"APKPure provides generic app or rollback text, but no clear version-specific reason for this update.",generic,False,1.26.131.01.90,"Apr 6, 2026",APKPure,https://apkpure.com/google-docs/com.google.android.apps.docs.editors.docs/versions,https://apkpure.com/google-docs/com.google.android.apps.docs.editors.docs/download/1.26.131.01.90,actual_href_from_versions_page,1.26.131.01.90,True,APKPure version/date/size; not official Google Play historical release data. Detail URL was read from APKPure page href.
Google Docs,Android,Google LLC,Productivity,1.26.131.00.90,"Mar 31, 2026",False,April 2012,,119.4 MB,119.4 MB,1K+,,"Mar 31, 2026",,,com.google.android.apps.docs.editors.docs,,"Android 8.0+ (Oreo, API 26)",,"arm64-v8a,armeabi-v7a,x86,x86_64",,Trusted App,Google LLC,,Google Docs,Secure,,Download and install,Google Docs is a cloud-based word processor app that lets you create and collaborate on documents. Download and install,New product feature,"APKPure provides generic app or rollback text, but no clear version-specific reason for this update.",generic,False,1.26.131.00.90,"Mar 31, 2026",APKPure,https://apkpure.com/google-docs/com.google.android.apps.docs.editors.docs/versions,https://apkpure.com/google-docs/com.google.android.apps.docs.editors.docs/download/1.26.131.00.90,actual_href_from_versions_page,1.26.131.00.90,True,APKPure version/date/size; not official Google Play historical release data. Detail URL was read from APKPure page href.
Google Docs,Android,Google LLC,Productivity,1.26.121.01.90,"Mar 31, 2026",False,April 2012,,119.2 MB,119.2 MB,1K+,,"Mar 31, 2026",,,com.google.android.apps.docs.editors.docs,,"Android 8.0+ (Oreo, API 26)",,"arm64-v8a,armeabi-v7a,x86,x86_64",,Trusted App,Shreya Reddy,,Google Docs,Secure,,Download and install,Google Docs is a cloud-based word processor app that lets you create and collaborate on documents. Download and install,New product feature,"APKPure provides generic app or rollback text, but no clear version-specific reason for this update.",generic,False,1.26.121.01.90,"Mar 31, 2026",APKPure,https://apkpure.com/google-docs/com.google.android.apps.docs.editors.docs/versions,https://apkpure.com/google-docs/com.google.android.apps.docs.editors.docs/download/1.26.121.01.90,actual_href_from_versions_page,1.26.121.01.90,True,APKPure version/date/size; not official Google Play historical release data. Detail URL was read from APKPure page href.
