app_name,platform,developer_company,app_category,version_number,version_release_date,is_current_version,initial_app_release_date,apk_format,file_size,detail_page_size,detail_page_downloads,detail_page_top_content_rating,detail_page_top_update_date,detail_page_security_ratio,detail_page_android_os,package_name,languages,requires_android,content_rating,architecture,app_permissions_count,additional_app_latest_version,uploaded_by,additional_app_category,security_report_label,security_scan_result,security_scan_date,update_description,update_description_raw,standardized_update_categories,standardized_summary,feature_specificity,feature_text_sufficient_for_research,detail_page_version,detail_page_update_date,version_history_source,version_history_source_url,detail_source_url,detail_url_source_method,detail_url_version_slug,detail_url_matches_displayed_version,source_note
YouTube,Android,Google LLC,Video Players & Editors,21.18.163,"May 2, 2026",True,Unknown / not available from APKPure,,177.6 MB,177.6 MB,5K+,,"May 2, 2026",,,com.google.android.youtube,,"Android 9.0+ (P, API 28)",,"arm64-v8a,armeabi-v7a,x86,x86_64",,Trusted App,ɱř Ặĥɱěd Abo Moslim,,YouTube,Secure,,Download and install,"YouTube is a video streaming app that helps you watch, create, and share videos across many topics. Download and install",New product feature,Version-specific note suggests: Download and install,version_specific_or_actionable,True,21.18.163,"May 2, 2026",APKPure,https://apkpure.com/youtube-2025/com.google.android.youtube/versions,https://apkpure.com/youtube-2025/com.google.android.youtube/download/21.18.163,actual_href_from_versions_page,21.18.163,True,APKPure version/date/size; not official Google Play historical release data. Detail URL was read from APKPure page href.
YouTube,Android,Google LLC,Video Players & Editors,21.17.482,"May 2, 2026",False,Unknown / not available from APKPure,,177.5 MB,177.5 MB,1K+,,"May 2, 2026",,,com.google.android.youtube,,"Android 9.0+ (P, API 28)",,"arm64-v8a,armeabi-v7a,x86,x86_64",,Trusted App,Popoe Poke,,YouTube,Secure,,Download and install,"YouTube is a video streaming app that helps you watch, create, and share videos across many topics. Download and install",New product feature,Version-specific note suggests: Download and install,version_specific_or_actionable,True,21.17.482,"May 2, 2026",APKPure,https://apkpure.com/youtube-2025/com.google.android.youtube/versions,https://apkpure.com/youtube-2025/com.google.android.youtube/download/21.17.482,actual_href_from_versions_page,21.17.482,True,APKPure version/date/size; not official Google Play historical release data. Detail URL was read from APKPure page href.
YouTube,Android,Google LLC,Video Players & Editors,21.17.481,"Apr 26, 2026",False,Unknown / not available from APKPure,,177.5 MB,177.5 MB,9K+,,"Apr 26, 2026",,,com.google.android.youtube,,"Android 9.0+ (P, API 28)",,"arm64-v8a,armeabi-v7a,x86,x86_64",,Trusted App,Vt Td,,YouTube,Secure,,Download and install,"YouTube is a video streaming app that helps you watch, create, and share videos across many topics. Download and install",New product feature,Version-specific note suggests: Download and install,version_specific_or_actionable,True,21.17.481,"Apr 26, 2026",APKPure,https://apkpure.com/youtube-2025/com.google.android.youtube/versions,https://apkpure.com/youtube-2025/com.google.android.youtube/download/21.17.481,actual_href_from_versions_page,21.17.481,True,APKPure version/date/size; not official Google Play historical release data. Detail URL was read from APKPure page href.
YouTube,Android,Google LLC,Video Players & Editors,21.16.256,"Apr 24, 2026",False,Unknown / not available from APKPure,,175.5 MB,175.5 MB,1K+,,"Apr 24, 2026",,,com.google.android.youtube,,"Android 9.0+ (P, API 28)",,"arm64-v8a,armeabi-v7a,x86,x86_64",,Trusted App,ɱř Ặĥɱěd Abo Moslim,,YouTube,Secure,,Download and install,"YouTube is a video streaming app that helps you watch, create, and share videos across many topics. Download and install",New product feature,Version-specific note suggests: Download and install,version_specific_or_actionable,True,21.16.256,"Apr 24, 2026",APKPure,https://apkpure.com/youtube-2025/com.google.android.youtube/versions,https://apkpure.com/youtube-2025/com.google.android.youtube/download/21.16.256,actual_href_from_versions_page,21.16.256,True,APKPure version/date/size; not official Google Play historical release data. Detail URL was read from APKPure page href.
YouTube,Android,Google LLC,Video Players & Editors,21.16.254,"Apr 24, 2026",False,Unknown / not available from APKPure,,174.2 MB,174.2 MB,1K+,,"Apr 24, 2026",,,com.google.android.youtube,,"Android 9.0+ (P, API 28)",,"arm64-v8a,armeabi-v7a,x86,x86_64",,Trusted App,Google LLC,,YouTube,Secure,,Download and install,"YouTube is a video streaming app that helps you watch, create, and share videos across many topics. Download and install",New product feature,Version-specific note suggests: Download and install,version_specific_or_actionable,True,21.16.254,"Apr 24, 2026",APKPure,https://apkpure.com/youtube-2025/com.google.android.youtube/versions,https://apkpure.com/youtube-2025/com.google.android.youtube/download/21.16.254,actual_href_from_versions_page,21.16.254,True,APKPure version/date/size; not official Google Play historical release data. Detail URL was read from APKPure page href.
YouTube,Android,Google LLC,Video Players & Editors,21.16.251,"Apr 23, 2026",False,Unknown / not available from APKPure,,124.8 MB,124.8 MB,1K+,,"Apr 23, 2026",,,com.google.android.youtube,,"Android 10.0+ (Q, API 29)",,arm64-v8a,,Trusted App,Lin Htet,,YouTube,Secure,,Download and install,"YouTube is a video streaming app that helps you watch, create, and share videos across many topics. Download and install",New product feature,Version-specific note suggests: Download and install,version_specific_or_actionable,True,21.16.251,"Apr 23, 2026",APKPure,https://apkpure.com/youtube-2025/com.google.android.youtube/versions,https://apkpure.com/youtube-2025/com.google.android.youtube/download/21.16.251,actual_href_from_versions_page,21.16.251,True,APKPure version/date/size; not official Google Play historical release data. Detail URL was read from APKPure page href.
YouTube,Android,Google LLC,Video Players & Editors,21.16.249,"Apr 23, 2026",False,Unknown / not available from APKPure,,124.8 MB,124.8 MB,1K+,,"Apr 23, 2026",,,com.google.android.youtube,,"Android 10.0+ (Q, API 29)",,arm64-v8a,,Trusted App,Maxim  Kot,,YouTube,,,Download and install,"YouTube is a video streaming app that helps you watch, create, and share videos across many topics. Download and install",New product feature,Version-specific note suggests: Download and install,version_specific_or_actionable,True,21.16.249,"Apr 23, 2026",APKPure,https://apkpure.com/youtube-2025/com.google.android.youtube/versions,https://apkpure.com/youtube-2025/com.google.android.youtube/download/21.16.249,actual_href_from_versions_page,21.16.249,True,APKPure version/date/size; not official Google Play historical release data. Detail URL was read from APKPure page href.
YouTube,Android,Google LLC,Video Players & Editors,21.16.245,"Apr 22, 2026",False,Unknown / not available from APKPure,,175.5 MB,175.5 MB,3K+,,"Apr 22, 2026",,,com.google.android.youtube,,"Android 9.0+ (P, API 28)",,"arm64-v8a,armeabi-v7a,x86,x86_64",,Trusted App,ɱř Ặĥɱěd Abo Moslim,,YouTube,Secure,,Download and install,"YouTube is a video streaming app that helps you watch, create, and share videos across many topics. Download and install",New product feature,Version-specific note suggests: Download and install,version_specific_or_actionable,True,21.16.245,"Apr 22, 2026",APKPure,https://apkpure.com/youtube-2025/com.google.android.youtube/versions,https://apkpure.com/youtube-2025/com.google.android.youtube/download/21.16.245,actual_href_from_versions_page,21.16.245,True,APKPure version/date/size; not official Google Play historical release data. Detail URL was read from APKPure page href.
YouTube,Android,Google LLC,Video Players & Editors,21.16.242,"Apr 18, 2026",False,Unknown / not available from APKPure,,175.5 MB,175.5 MB,6K+,,"Apr 18, 2026",,,com.google.android.youtube,,"Android 9.0+ (P, API 28)",,"arm64-v8a,armeabi-v7a,x86,x86_64",,Trusted App,Google LLC,,YouTube,Secure,,Download and install,"YouTube is a video streaming app that helps you watch, create, and share videos across many topics. Download and install",New product feature,Version-specific note suggests: Download and install,version_specific_or_actionable,True,21.16.242,"Apr 18, 2026",APKPure,https://apkpure.com/youtube-2025/com.google.android.youtube/versions,https://apkpure.com/youtube-2025/com.google.android.youtube/download/21.16.242,actual_href_from_versions_page,21.16.242,True,APKPure version/date/size; not official Google Play historical release data. Detail URL was read from APKPure page href.
YouTube,Android,Google LLC,Video Players & Editors,21.16.240,"Apr 17, 2026",False,Unknown / not available from APKPure,,175.5 MB,175.5 MB,1K+,,"Apr 17, 2026",,,com.google.android.youtube,,"Android 9.0+ (P, API 28)",,"arm64-v8a,armeabi-v7a,x86,x86_64",,Trusted App,Google LLC,,YouTube,Secure,,Download and install,"YouTube is a video streaming app that helps you watch, create, and share videos across many topics. Download and install",New product feature,Version-specific note suggests: Download and install,version_specific_or_actionable,True,21.16.240,"Apr 17, 2026",APKPure,https://apkpure.com/youtube-2025/com.google.android.youtube/versions,https://apkpure.com/youtube-2025/com.google.android.youtube/download/21.16.240,actual_href_from_versions_page,21.16.240,True,APKPure version/date/size; not official Google Play historical release data. Detail URL was read from APKPure page href.
